max in k: 3974.009719, sumS: 24795795629.564953, total var 26053589104.478317
max in k: 3927.221413, sumS: 24811218697.595058, total var 26053589104.478317
max in k: 3871.232094, sumS: 24826205135.519096, total var 26053589104.478317
max in k: 3827.606072, sumS: 24840855703.762234, total var 26053589104.478317
max in k: 3768.675526, sumS: 24855058618.983547, total var 26053589104.478317
max in k: 3755.282378, sumS: 24869160764.719669, total var 26053589104.478317
max in k: 3732.534849, sumS: 24883092581.120110, total var 26053589104.478317
max in k: 3703.353911, sumS: 24896807411.309452, total var 26053589104.478317
max in k: 3691.981814, sumS: 24910438141.025532, total var 26053589104.478317
max in k: 3652.467267, sumS: 24923778658.162926, total var 26053589104.478317
max in k: 3631.268562, sumS: 24936964769.531822, total var 26053589104.478317
max in k: 3594.951459, sumS: 24949888445.522972, total var 26053589104.478317
max in k: 3561.350134, sumS: 24962571660.301876, total var 26053589104.478317
max in k: 3549.374706, sumS: 24975169721.106594, total var 26053589104.478317
max in k: 3499.708709, sumS: 24987417682.155415, total var 26053589104.478317
max in k: 3474.922016, sumS: 24999492765.172409, total var 26053589104.478317
max in k: 3451.224694, sumS: 25011403717.059307, total var 26053589104.478317
max in k: 3421.970627, sumS: 25023113600.029190, total var 26053589104.478317
max in k: 3408.593563, sumS: 25034732110.109272, total var 26053589104.478317
max in k: 3383.281059, sumS: 25046178700.831287, total var 26053589104.478317
max in k: 3366.845022, sumS: 25057514346.231625, total var 26053589104.478317
max in k: 3330.661917, sumS: 25068607655.035389, total var 26053589104.478317
max in k: 3321.887986, sumS: 25079642594.824669, total var 26053589104.478317
max in k: 3287.107517, sumS: 25090447670.652630, total var 26053589104.478317
max in k: 3283.603372, sumS: 25101229721.756878, total var 26053589104.478317
max in k: 3271.974710, sumS: 25111935540.260036, total var 26053589104.478317
max in k: 3206.013270, sumS: 25122214061.347164, total var 26053589104.478317
max in k: 3187.422701, sumS: 25132373724.824600, total var 26053589104.478317
max in k: 3177.273232, sumS: 25142468790.016220, total var 26053589104.478317
max in k: 3159.270835, sumS: 25152449782.224487, total var 26053589104.478317
max in k: 3134.666138, sumS: 25162275914.023003, total var 26053589104.478317
max in k: 3106.358516, sumS: 25171925377.255360, total var 26053589104.478317
max in k: 3096.293988, sumS: 25181512413.717854, total var 26053589104.478317
max in k: 3071.937105, sumS: 25190949211.295231, total var 26053589104.478317
max in k: 3062.936398, sumS: 25200330790.671669, total var 26053589104.478317
max in k: 3051.215046, sumS: 25209640703.926563, total var 26053589104.478317
max in k: 3010.035191, sumS: 25218701015.775841, total var 26053589104.478317
max in k: 2990.543560, sumS: 25227644366.562317, total var 26053589104.478317
max in k: 2964.590295, sumS: 25236433162.181637, total var 26053589104.478317
max in k: 2954.293057, sumS: 25245161009.649029, total var 26053589104.478317
max in k: 2931.585335, sumS: 25253755202.228039, total var 26053589104.478317
max in k: 2910.870861, sumS: 25262228371.395035, total var 26053589104.478317
max in k: 2895.953940, sumS: 25270614920.617424, total var 26053589104.478317
max in k: 2884.701168, sumS: 25278936421.446220, total var 26053589104.478317
max in k: 2849.071709, sumS: 25287053631.047195, total var 26053589104.478317
max in k: 2839.172503, sumS: 25295114531.548138, total var 26053589104.478317
max in k: 2823.835539, sumS: 25303088578.701668, total var 26053589104.478317
max in k: 2801.268719, sumS: 25310935685.135662, total var 26053589104.478317
max in k: 2777.942789, sumS: 25318652651.272232, total var 26053589104.478317
max in k: 2771.725814, sumS: 25326335115.259144, total var 26053589104.478317
max in k: 2751.721997, sumS: 25333907089.209679, total var 26053589104.478317
max in k: 2747.226433, sumS: 25341454342.282616, total var 26053589104.478317
max in k: 2734.616546, sumS: 25348932469.936367, total var 26053589104.478317
max in k: 2720.925657, sumS: 25356335906.366119, total var 26053589104.478317
max in k: 2700.597899, sumS: 25363629135.380238, total var 26053589104.478317
max in k: 2685.386717, sumS: 25370840437.197433, total var 26053589104.478317
max in k: 2660.043383, sumS: 25377916267.994781, total var 26053589104.478317
max in k: 2658.175319, sumS: 25384982164.020485, total var 26053589104.478317
max in k: 2641.658559, sumS: 25391960523.961948, total var 26053589104.478317
max in k: 2625.173958, sumS: 25398852062.273880, total var 26053589104.478317
max in k: 2615.676322, sumS: 25405693824.893089, total var 26053589104.478317
max in k: 2591.089719, sumS: 25412407570.827126, total var 26053589104.478317
max in k: 2574.511505, sumS: 25419035680.315876, total var 26053589104.478317
max in k: 2558.358830, sumS: 25425580880.217777, total var 26053589104.478317
max in k: 2528.924469, sumS: 25431976339.189545, total var 26053589104.478317
max in k: 2522.304153, sumS: 25438338357.427635, total var 26053589104.478317
max in k: 2516.635087, sumS: 25444671809.586906, total var 26053589104.478317
max in k: 2486.239765, sumS: 25450853197.757065, total var 26053589104.478317
max in k: 2478.600106, sumS: 25456996656.241619, total var 26053589104.478317
max in k: 2471.956181, sumS: 25463107223.599983, total var 26053589104.478317
